Austin Film Festival,Music,Austin,Texas,United States,North America,Fall,10/4/18,10/13/18,"Austin Film Festival attracts film lovers from all over the world, bringing a substantial number of people to Austin every October. This, as well as AFF’s partnerships with a variety of Austin hotels and restaurants—which offer promotional deals for out-of-towners and business for local hotspots—help to give Austin’s economy a boost. According to Austin Convention & Visitors Bureau estimates, AFF contributes in excess of $8 million to the local economy annually.","aff-1.jpg,aff-2.jpg,aff-3.jpg"
Snow and Ice Festival,Art,Harbin,Heilongjiang,China,Asia,Winter,1/5/18,2/5/18,"The Harbin festival is the largest snow and ice festival in the world, and it features carvings towering over 20 feet in height and full-size buildings made from gigantic blocks of ice.","harbin-1.jpg,harbin-2.jpg,harbin-3.jpg"
Holi,Culture,Mumbai,Maharashtra,India,Asia,Spring,3/1/18,3/1/18,"Holi, also known as the Festival of Colors, celebrates the end of winter and the beginning of spring. It's fun, safe, and free. Just remember to BYOD (bring your own dye).","holi-1.jpg,holi-2.jpg,holi-3.jpg"
Cascamorras,History,Baza,Granada,Spain,Europe,Fall,9/2/18,9/3/18,"Every year hundreds of Spaniards cover themselves in grease to reenact the stealing of a famous statue of the ""Virgen de la Piedad,"" which took place over 500 years ago. Best of all, after the greasing, a great big party ensues.","cascamorras-1.jpg,cascamorras-2.jpg,cascamorras-3.jpg"
Carnevale,History,Venice,Veneto,Italy,Europe,Winter,2/14/14,3/4/18,"Carnevale, or ""Carnival,"" has been a Venice tradition since the 13th century. People flock from all over the world to participate in the masked celebrations, arguably making it one of the best parties on Earth.","carnevale-1.jpg,carnevale-2.jpg,carnevale-3.jpg"
Up Helly Aa Fire Festival,Culture,Lerwick,Shetland Islands,Scotland,Europe,Winter,1/29/19,1/30/19,"This is Europe's largest fire festival, complete with the burning of a full-scale Viking ship. Need we say more?","uphellyaa-1.jpg,uphellyaa-2.jpg,uphellyaa-3.jpg"
Tomorrowland,Music,Boom,Antwerp,Belgium,Europe,Summer,6/20/18,6/29/18,"Tomorrowland has quickly grown to become one of the world's largest electronic dance music (EDM) festivals. Each year over 100,000 visitors flock to Belgium to dance the day and night away.","tomorrowland-1.jpg,tomorrowland-2.jpg,tomorrowland-3.jpg"
Mardi Gras,Culture,New Orleans,Louisiana,United States,North America,Spring,3/5/19,3/5/19,"In many ways Mardis Gras' reputation precedes itself — if you want to party like there's no tomorrow, New Orleans is where you belong.","mardigras-1.jpg,mardigras-2.jpg,mardigras-3.jpg"
Oktoberfest,Food,Munich,Bavaria,Germany,Europe,Fall,9/1/18,10/10/18,"Though there are many smaller offshoots of Oktoberfest around the world, Munich's original fair is the biggest beer festival in the world. In 2013, more than $96,178,668 worth of beer was served every day during the festival.","oktoberfest-1.jpg,oktoberfest-2.jpg,oktoberfest-3.jpg"
La Tomatina,Culture,Bunol,Valencia,Spain,Europe,Summer,8/22/18,8/23/18,"As crazy as it may seem, this festival is held every year purely for fun, meaning it isn't tied to any ancient traditions. In 1945 a few locals began throwing fruits and vegetables during a parade — and ever since then the tomato-throwing festival has continued on.","latomatina-1.jpg,latomatina-2.jpg,latomatina-3.jpg"
Albuquerque International Balloon Festival,Culture,Albuquerque,New Mexico,United States,North America,Fall,10/5/14,10/13/14,The Albuquerque International Balloon Festival is the largest gathering of hot air balloons in the world. Essentially it's like Up — but better.,"albuquerque-1.jpg,albuquerque-2.jpg,albuquerque-3.jpg"
Carnaval,History,Rio de Janero,Rio,Brazil,South America,Spring,2/28/14,3/4/14,"Much like Mardi Gras in New Orleans and Carnevale in Venice, Canaval is a nonstop party, just with special addition of Brazilian flair. It's filled with samba music, colorful costumes, and giant parades.","carnaval-1.jpg,carnaval-2.jpg,carnaval-3.jpg"
Cooper Hill's Cheese Rolling Festival,History,Gloucester,Gloucestershire,England,Europe,Summer,5/26/14,5/27/14,"If you've ever wanted to watch hundreds of men run down a hill while chasing a wheel of cheese, then you're in luck — because the Cooper Hill Cheese Roll not only exists, it's quite the romp.","cooperhill-1.jpg,cooperhill-2.jpg,cooperhill-3.jpg"
Coachella,Music,Indio,California,United States,North America,Spring,4/11/14,4/20/14,"Each year Coachella boasts the biggest names in music, not to mention an impressive showing of Hollywood's biggest celebrities. Plus, you can spend the weekend camping in the desert with your friends.","coachell-1.jpg,coachell-2.jpg,coachell-3.jpg"
Dia de los Muertos,Culture,Mexico City,Federal District,Mexico,North America,Winter,11/1/18,11/2/18,"Dia de los Muertos, or ""The Day of the Dead,"" celebrates All Saint's Day, which remembers all those who have passed before us. A colorful display of costume and culture, Dia de los Muertos is a day you don't want to miss.","diadelosmuertos-1.jpg,diadelosmuertos-2.jpg,diadelosmuertos-3.jpg"
Running of the Bulls,Culture,Pamplona,Navarre,Spain,Europe,Summer,7/6/18,7/14/18,"Let's be real — who doesn't like watching people make fools of themselves? The Running of the Bulls is a time-honored Spanish tradition, which is such to raise your adrenaline levels, whether you're running or watching.","pamplona-1.jpg,pamplona-2.jpg,pamplona-3.jpg"
Songkran Water Festival,Culture,Chiang Mai,Chiang Mai Province,Thailand,Asia,Spring,4/13/14,4/15/14,"This is the water fight of your dreams, so back up your Super Soakers, water balloons, and water bottles and head to Thailand for a wet and wild adventure.","songkran-1.jpg,songkran-2.jpg,songkran-3.jpg"
Burning Man,Culture,Black Rock City,Nevada,United States,North America,Summer,8/25/14,9/1/14,"Burning Man is where humans go to shed themselves of the conventions of society. If you want a break from the ordinary and can actually party 24/7, then head to the deserts of Nevada.","burningman-1.jpg,burningman-2.jpg,burningman-3.jpg"
